"","num","MT_m","MT_n","HT_m","HT_n","winrate","freq","cumSeries"
"11",11,10,90,10,90,0.516593886462882,25.6813186813187,8.4636
"12",12,10,90,20,80,0.520459770114942,23.37,9.0375
"13",13,10,90,30,70,0.518789653489507,16.8129496402878,8.8493
"14",14,10,90,40,60,0.525609149676778,19,9.4116
"15",15,10,90,50,50,0.523958333333333,14.9807692307692,8.7363
"16",16,10,90,60,40,0.526460859977949,14.4259259259259,9.4037
"17",17,10,90,70,30,0.518950437317784,10.7201834862385,8.3665
"18",18,10,90,80,20,0.529526281635302,9.05813953488372,9.0081
"19",19,10,90,90,10,0.530513176144244,6.77391304347826,9.4628
"21",21,20,80,10,90,0.52219074598678,27.1162790697674,8.9415
"22",22,20,80,20,80,0.522236900044033,25.6263736263736,9.5154
"23",23,20,80,30,70,0.521880819366853,17.6666666666667,9.3212
"24",24,20,80,40,60,0.529554263565892,19.2727272727273,9.8835
"25",25,20,80,50,50,0.527337761880429,15.6510067114094,9.2082
"26",26,20,80,60,40,0.529222520107239,14.0481927710843,9.8756
"27",27,20,80,70,30,0.522522522522523,10.8971962616822,8.8384
"28",28,20,80,80,20,0.530712530712531,9.109375,9.48
"29",29,20,80,90,10,0.533022014676451,6.79883381924198,9.955
"31",31,30,70,10,90,0.523345305284761,26.314606741573,9.2092
"32",32,30,70,20,80,0.524781341107872,23.42,9.7831
"33",33,30,70,30,70,0.519837691614067,16.9710144927536,9.5939
"34",34,30,70,40,60,0.526638378123527,20.5438596491228,10.1338
"35",35,30,70,50,50,0.524840137727496,15.5099337748344,9.4573
"36",36,30,70,60,40,0.526998961578401,15.0128205128205,10.1259
"37",37,30,70,70,30,0.519783197831978,10.9953051643192,9.0887
"38",38,30,70,80,20,0.530149253731343,9.22047244094488,9.7303
"39",39,30,70,90,10,0.531329923273657,6.92899408284024,10.185
"41",41,40,60,10,90,0.531869309051955,26.0666666666667,9.1628
"42",42,40,60,20,80,0.533574380165289,24.4375,9.7367
"43",43,40,60,30,70,0.528237585199611,18.0461538461538,9.5475
"44",44,40,60,40,60,0.53232462173315,20.7610619469027,10.1191
"45",45,40,60,50,50,0.531295487627365,16.1793103448276,9.4426
"46",46,40,60,60,40,0.533742331288344,15.5364238410596,10.1112
"47",47,40,60,70,30,0.527194399569198,11.0660377358491,9.074
"48",48,40,60,80,20,0.538785327720986,9.23622047244094,9.7156
"49",49,40,60,90,10,0.541025641025641,6.9,10.1703
"51",51,50,50,10,90,0.534910559723024,24.4375,9.1234
"52",52,50,50,20,80,0.536353467561521,24.4375,9.6973
"53",53,50,50,30,70,0.531652360515021,16.6382978723404,9.5081
"54",54,50,50,40,60,0.536423841059603,18.768,10.0797
"55",55,50,50,50,50,0.529826209488023,15.1354838709677,9.4032
"56",56,50,50,60,40,0.530912659470069,14.2181818181818,10.0718
"57",57,50,50,70,30,0.525894287239722,10.8611111111111,9.0346
"58",58,50,50,80,20,0.536541889483066,9.05791505791506,9.6762
"59",59,50,50,90,10,0.540312093628088,6.72206303724928,10.1309
